# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,3.0,5.0,0.0,0,3.0,0,0.0,0.0,0.0
 0.08908518769507376,3.011904256,5.0,0.0,0.26725556308522125,2.9999999999999996,0,0.0,0.0,0.0
 0.12548053766753337,3.023618048,5.0,0.0,0.3764416130026001,3.000000000000001,0,0.0,0.0,0.0
 0.15306406501854045,3.035142912,5.0,0.0,0.45919219505562137,3.000000000000001,0,0.0,0.0,0.0
 0.17603102756805894,3.046480384,5.0,0.0,0.5280930827041769,3.0000000000000013,0,0.0,0.0,0.0
 0.19601360496999504,3.057632,5.0,0.0,0.5880408149099852,3.0,0,0.0,0.0,0.0
 0.21385243510420973,3.0685992960000004,5.0,0.0,0.6415573053126292,2.9999999999999982,0,0.0,0.0,0.0
 0.23004899188361272,3.079383808,5.0,0.0,0.6901469756508382,2.9999999999999982,0,0.0,0.0,0.0
 0.24493138086683242,3.089987072,5.0,0.0,0.7347941426004974,3.0000000000000075,0,0.0,0.0,0.0
 0.25872845997299976,3.1004106240000002,5.0,0.0,0.7761853799189994,3.0,0,0.0,0.0,0.0
 0.27160756003223974,3.110656,5.0,0.0,0.8148226800967193,3.0,0,0.0,0.0,0.0
 0.28369553632958944,3.120724736,5.0,0.0,0.8510866089887684,3.0,0,0.0,0.0,0.0
 0.29509136212366494,3.130618368,5.0,0.0,0.8852740863709949,3.0,0,0.0,0.0,0.0
 0.30587408302546115,3.140338432,5.0,0.0,0.9176222490763837,3.00000000000001,0,0.0,0.0,0.0
 0.31610806590995655,3.149886464,5.0,0.0,0.9483241977298699,3.0,0,0.0,0.0,0.0
 0.32584658967066066,3.159264,5.0,0.0,0.9775397690119821,2.9999999999999942,0,0.0,0.0,0.0
 0.3351343770290758,3.168472576,5.0,0.0,1.0054031310872276,3.0000000000000058,0,0.0,0.0,0.0
 0.3440094262274413,3.177513728,5.0,0.0,1.032028278682324,2.999999999999994,0,0.0,0.0,0.0
 0.35250436593040935,3.186388992,5.0,0.0,1.0575130977912282,2.9999999999999933,0,0.0,0.0,0.0
 0.36064747700027894,3.195099904,5.0,0.0,1.081942431000837,3.0000000000000067,0,0.0,0.0,0.0
 0.36846347625420556,3.2036480000000003,5.0,0.0,1.1053904287626168,3.0,0,0.0,0.0,0.0
 0.37597412676938297,3.212034816,5.0,0.0,1.127922380308149,3.0,0,0.0,0.0,0.0
 0.3831987195524884,3.220261888,5.0,0.0,1.1495961586574655,3.0000000000000075,0,0.0,0.0,0.0
 0.3901544583025208,3.228330752,5.0,0.0,1.1704633749075626,2.999999999999984,0,0.0,0.0,0.0
 0.39685677013249987,3.236242944,5.0,0.0,1.1905703103974998,3.0000000000000164,0,0.0,0.0,0.0
 0.4033195589934448,3.244,5.0,0.0,1.2099586769803345,2.9999999999999916,0,0.0,0.0,0.0
 0.4095554142400433,3.2516034560000002,5.0,0.0,1.22866624272013,2.9999999999999822,0,0.0,0.0,0.0
 0.4155757837025636,3.259054848,5.0,0.0,1.2467273511076908,3.0,0,0.0,0.0,0.0
 0.4213911184003132,3.266355712,5.0,0.0,1.2641733552009395,2.9999999999999907,0,0.0,0.0,0.0
 0.42701099439397716,3.273507584,5.0,0.0,1.2810329831819316,3.0000000000000195,0,0.0,0.0,0.0
 0.43244421605566674,3.2805120000000003,5.0,0.0,1.2973326481670002,2.9999999999999796,0,0.0,0.0,0.0
 0.43769890411864965,3.2873704960000003,5.0,0.0,1.313096712355949,3.0,0,0.0,0.0,0.0
 0.4427825711716006,3.2940846080000004,5.0,0.0,1.3283477135148019,3.0000000000000218,0,0.0,0.0,0.0
 0.44770218672684636,3.300655872,5.0,0.0,1.3431065601805392,3.0,0,0.0,0.0,0.0
 0.45246423357727034,3.307085824,5.0,0.0,1.3573927007318112,3.0000000000000115,0,0.0,0.0,0.0
 0.4570747568323299,3.3133760000000003,5.0,0.0,1.37122427049699,3.000000000000012,0,0.0,0.0,0.0
 0.4615394067682629,3.319527936,5.0,0.0,1.3846182203047888,2.999999999999975,0,0.0,0.0,0.0
 0.4658634764248712,3.325543168,5.0,0.0,1.3975904292746137,3.000000000000013,0,0.0,0.0,0.0
 0.4700519347192748,3.331423232,5.0,0.0,1.4101558041578246,3.0,0,0.0,0.0,0.0
 0.47410945571671537,3.337169664,5.0,0.0,1.422328367150146,2.999999999999959,0,0.0,0.0,0.0
 0.4780404445929932,3.342784,5.0,0.0,1.4341213337789798,3.0000000000000284,0,0.0,0.0,0.0
 0.48184906073721195,3.348267776,5.0,0.0,1.445547182211636,2.9999999999999853,0,0.0,0.0,0.0
 0.4855392383731722,3.3536225280000003,5.0,0.0,1.4566177151195165,2.99999999999997,0,0.0,0.0,0.0
 0.489114705019862,3.358849792,5.0,0.0,1.467344115059586,3.0000000000000466,0,0.0,0.0,0.0
 0.49257899806359334,3.3639511040000003,5.0,0.0,1.47773699419078,2.999999999999984,0,0.0,0.0,0.0
 0.495935479674524,3.3689280000000004,5.0,0.0,1.4878064390235721,3.0000000000000164,0,0.0,0.0,0.0
 0.4991873502670784,3.3737820160000003,5.0,0.0,1.4975620508012353,3.0,0,0.0,0.0,0.0
 0.5023376606758977,3.378514688,5.0,0.0,1.5070129820276932,3.0,0,0.0,0.0,0.0
 0.5053893231954947,3.3831275520000004,5.0,0.0,1.516167969586484,2.9999999999999636,0,0.0,0.0,0.0
